id,__typename,createdAt,deviceID,eventStatus,owner,timestamp,updatedAt,userID
123a30ba-728c-4fca-844e-1b6aaae6a376,DeviceTimeStamp,2023-10-20T05:10:00.001Z,ab4454c7-1d75-4328-af9c-f03a12ccea2b,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-10-20T05:10:00.001Z,2023-10-20T05:10:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
xyzaa30ba-728c-41ca-844e-1b6aaae6a376,DeviceTimeStamp,2023-11-01T05:01:00.001Z,9c1j6h66-938q-278r-8e24-4t99e27q8371,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-01T05:01:00.001Z,2023-11-01T05:01:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
7894b9d8-dbf4-44fa-b3f8-c01dd3ce2a74,DeviceTimeStamp,2023-11-10T23:00:00.001Z,111j6h66-938q-278r-8e24-4t99e27q8371,TRUE,fat06b84-ceb1-4f65-8407-13cd12663818::fat06b84-ceb1-4f65-8407-13cd12663818,2023-11-10T23:00:00.001Z,2023-11-10T23:00:00.001Z,fat06b84-ceb1-4f65-8407-13cd12663818
456a30ba-728c-4fca-844e-1b6aaae6a376,DeviceTimeStamp,2023-11-01T06:03:00.001Z,9c1j6h66-938q-278r-8e24-4t99e27q8371,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-01T06:03:00.001Z,2023-11-01T06:03:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
uvw590a7-2fac-44f4-8d12-2a2676b586af,DeviceTimeStamp,2023-11-10T23:10:00.001Z,fwee3c32-888a-446c-9d15-8f79f40a7331,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-10T23:10:00.001Z,2023-11-10T23:10:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
rst4b9d8-dbf4-44fa-b3f8-c01dd3ce2a74,DeviceTimeStamp,2023-11-10T23:00:00.001Z,7a2e3c32-888a-446c-9d15-8f79f40a7331,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-10T23:00:00.001Z,2023-11-10T23:00:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
pqr6d759-1240-4d42-ab68-827b9bf22acd,DeviceTimeStamp,2023-10-20T06:00:00.001Z,ab4454c7-1d75-4328-af9c-f03a12ccea2b,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-10-20T06:00:00.001Z,2023-10-20T06:00:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
mnoa30ba-728c-4fca-844e-1b6aaae6a376,DeviceTimeStamp,2023-11-10T14:00:00.001Z,6y2e0q34-992e-901d-2r24-4t99e27q9789,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-10T14:00:00.001Z,2023-11-10T14:00:00.001Z,aye06b84-ceb1-4f65-8407-13cd12663818
jklaa30ba-728c-41ca-844e-1b6aaae6a376,DeviceTimeStamp,2023-11-01T07:10:00.001Z,9c1j6h66-938q-278r-8e24-4t99e27q8371,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-01T07:10:00.001Z,2023-11-01T07:10:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
ghi590a7-2fac-44f4-8d12-2a2676b586ae,DeviceTimeStamp,2023-11-11T05:00:00.001Z,7a2e3c32-888a-446c-9d15-8f79f40a7331,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-11T05:00:00.001Z,2023-11-11T05:00:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
cba4b9d8-dbf4-44fa-b3f8-c01dd3ce2a74,DeviceTimeStamp,2023-10-20T07:03:00.001Z,ab4454c7-1d75-4328-af9c-f03a12ccea2b,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-10-20T07:03:00.001Z,2023-10-20T07:03:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
xyz6d759-1240-4d42-ab68-827b9bf22acd,DeviceTimeStamp,2023-10-20T08:32:00.001Z,ab4454c7-1d75-4328-af9c-f03a12ccea2b,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-10-20T08:32:00.001Z,2023-10-20T08:32:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
defa30ba-728c-4fca-844e-1b6aaae6a37e,DeviceTimeStamp,2023-11-10T17:00:00.001Z,6y2e0q34-992e-901d-2r24-4t99e27q9789,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-10T17:00:00.001Z,2023-11-10T17:00:00.001Z,aye06b84-ceb1-4f65-8407-13cd12663818
abc30ba-728c-41ca-844e-1b6aaae6a376,DeviceTimeStamp,2023-11-01T08:33:00.001Z,9c1j6h66-938q-278r-8e24-4t99e27q8371,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-01T08:33:00.001Z,2023-11-01T08:33:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
hij590a7-2fac-44f4-8d12-2a2676b586af,DeviceTimeStamp,2023-11-11T14:00:00.001Z,7a2e3c32-888a-446c-9d15-8f79f40a7331,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-11T14:00:00.001Z,2023-11-11T14:00:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
rstb9d8-dbf4-44fa-b3f8-c01dd3ce2a75,DeviceTimeStamp,2023-11-11T05:01:00.001Z,fwee3c32-888a-446c-9d15-8f79f40a7331,FALSE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-11T05:01:00.001Z,2023-11-11T05:01:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
mno6d759-1240-4d42-ab68-827b9bf22acd,DeviceTimeStamp,2023-10-20T14:01:00.001Z,ab4454c7-1d75-4328-af9c-f03a12ccea2b,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-10-20T14:01:00.001Z,2023-10-20T14:01:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
jkl30ba-728c-4fca-844e-1b6aaae6a37e,DeviceTimeStamp,2023-11-01T14:07:00.001Z,9c1j6h66-938q-278r-8e24-4t99e27q8371,TRUE,b3f06b84-ceb1-4f65-8407-13cd12663818::b3f06b84-ceb1-4f65-8407-13cd12663818,2023-11-01T14:07:00.001Z,2023-11-01T14:07:00.001Z,b3f06b84-ceb1-4f65-8407-13cd12663818
